name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Narayanan Vinu Prasad,http://www.espncricinfo.com/ci/content/player/32528.html,"June 20, 1985, Palghat (now Palakkad), Kerala ",Karnataka Under-16s,-,0,0,0,0,0*,0,1,1,1,0,0,-,0
Raghav Sharma,http://www.espncricinfo.com/ci/content/player/697167.html,"August 1, 1987, Chandigar ",Badureliya Sports Club,25.50,80,8,1,0,33,0,3,3,1,51,0,63.75,0
Rahul Sharma,http://www.espncricinfo.com/ci/content/player/272994.html,"November 30, 1986, Jalandhar ","India,",1.00,2,0,1,0,1,0,1,4,0,1,0,50.00,0
Paras Sharma,http://www.espncricinfo.com/ci/content/player/604525.html,"December 4, 1995, Jammu ",Jammu & Kashmir,20.08,726,32,2,0,44,0,12,6,0,241,1,33.19,0
Mukul Sharma,http://www.espncricinfo.com/ci/content/player/33956.html,"October 17, 1983, Haryana ",Railways,1.00,4,0,1,0,1,0,1,1,0,1,0,25.00,0
Mohit Sharma,http://www.espncricinfo.com/ci/content/player/537119.html,"September 18, 1988, Ballabhgarh, Haryana ","India,",7.75,66,5,6,0,11,0,9,26,5,31,0,46.96,0
Manav Sharma,http://www.espncricinfo.com/ci/content/player/381812.html,"August 13, 1986, Delhi ",Haryana,28.73,1477,42,1,2,98,0,16,10,1,431,0,29.18,0
Karn Sharma,http://www.espncricinfo.com/ci/content/player/30288.html,"October 23, 1987, Meerut, Uttar Pradesh ","India,",8.00,28,0,0,0,4*,0,2,1,1,8,0,28.57,0
Lokesh Sharma,http://www.espncricinfo.com/ci/content/player/376252.html,"August 29, 1987, Sonipat, Haryana ","Haryana Under-16s,",16.00,42,2,0,0,16,0,1,1,0,16,0,38.09,0
Kundan Sharma,http://www.espncricinfo.com/ci/content/player/1159820.html,"August 10, 1995, Puran, Bihar ",Bihar,2.00,17,0,0,0,2,0,2,3,0,4,0,23.52,0
Kuldeep Sharma,http://www.espncricinfo.com/ci/content/player/34394.html,"September 26, 1986, Anjar, Saurashtra ","India Under-19s,",-,-,-,0,-,-,-,-,2,-,-,-,-,0
Mohammed Taha,http://www.espncricinfo.com/ci/content/player/777529.html,"November 2, 1993, Bangalore, Karnataka ",Hubli Tigers,18.20,83,10,0,0,45,0,5,5,0,91,3,109.63,0
Mohammed Shami,http://www.espncricinfo.com/ci/content/player/481896.html,"September 3, 1990, Amroha, Uttar Pradesh ","India,",11.10,582,45,9,1,51*,0,56,40,17,433,16,74.39,0
Mohammed Siraj,http://www.espncricinfo.com/ci/content/player/940973.html,"March 13, 1994, Hyderabad ","India,",-,-,-,0,-,-,-,-,1,-,-,-,-,0
Mohammed Azharuddeen,http://www.espncricinfo.com/ci/content/player/940733.html,"March 22, 1994, Thalangara, Kerala ",Kerala,27.82,1286,104,47,4,112,1,29,17,0,807,9,62.75,5
M Mohammed,http://www.espncricinfo.com/ci/content/player/588328.html,"December 3, 1991, Dindigul, Tamil Nadu ","Lyca Kovai Kings,",12.38,657,23,3,0,43,0,22,19,4,223,1,33.94,0
Imtiaz Mohammed,http://www.espncricinfo.com/ci/content/player/273856.html,"July 7, 1981, Vijayawada, Andhra Pradesh ",Services,74.00,142,11,0,1,67*,0,2,1,1,74,0,52.11,1
Mohammed Arif,http://www.espncricinfo.com/ci/content/player/304737.html,"September 30, 1990, Rajasthan ","India Under-19s,",3.00,13,0,0,0,3*,0,4,5,3,3,0,23.07,0
Mohammad Shafi,http://www.espncricinfo.com/ci/content/player/554194.html,"September 6, 1986, Udaipur, Rajasthan ",Rajasthan,7.00,6,1,0,0,7,0,1,1,0,7,0,116.66,0
Mohammad Saif,http://www.espncricinfo.com/ci/content/player/642523.html,"August 30, 1996, Varanasi, Uttar Pradesh ","India Under-19s,",40.85,2481,134,15,7,198,2,30,18,3,1103,6,44.45,0
Naralasetty Prasad,http://www.espncricinfo.com/ci/content/player/481694.html,"September 9, 1984 ",Andhra,-,4,1,1,0,6*,0,2,4,2,6,0,150.00,0
Mannava Prasad,http://www.espncricinfo.com/ci/content/player/32346.html,"April 24, 1975, Guntur, Andhra Pradesh ","India,",11.77,370,6,15,0,19,0,10,6,1,106,0,28.64,0
Garikina Prasad,http://www.espncricinfo.com/ci/content/player/305788.html,"December 2, 1988, Visakhapatnam, Andhra Pradesh ","Andhra,",12.28,278,9,6,0,33,0,11,10,4,86,0,30.93,0
Venkatesh Prasad,http://www.espncricinfo.com/ci/content/player/32345.html,"August 5, 1969, Bangalore, Karnataka ","India,",7.51,703,11,6,0,30*,0,47,33,20,203,0,28.87,0
Amba Prasad,http://www.espncricinfo.com/ci/content/player/32424.html,"September 24, 1978, Pratapgarh, Rajasthan ",Uttar Pradesh,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Manyala Pranith,http://www.espncricinfo.com/ci/content/player/1071326.html,"September 8, 1993, Visakhapatnam ","Andhra,",30.00,169,13,3,1,63,0,4,2,1,90,0,53.25,0
Praneeth Kumar,http://www.espncricinfo.com/ci/content/player/538194.html,"October 13, 1989, Hyderabad, Andhra Pradesh ",Hyderabad (India),17.00,83,12,3,1,68,0,5,6,0,85,1,102.40,0
Pranav Gupta,http://www.espncricinfo.com/ci/content/player/625395.html,"December 18, 1993, Jammu ",Jammu and Kashmir,26.30,1427,85,3,6,94,0,23,13,0,605,2,42.39,0
Pradipta Pramanik,http://www.espncricinfo.com/ci/content/player/942651.html,"October 8, 1998, Kolkata, Bengal ","Bengal Under-16s,",24.00,319,11,4,0,43,0,10,7,3,168,7,52.66,0
Jitesh Sharma,http://www.espncricinfo.com/ci/content/player/721867.html,"October 22, 1993, Amrawati, Maharashtra ","Mumbai Indians,",24.04,1091,79,50,3,61,0,23,16,0,553,3,50.68,5
Jaya Sharma,http://www.espncricinfo.com/ci/content/player/54000.html,"September 17, 1980, Ghaziabad, Uttar Pradesh ","Asia Women XI,",24.00,75,2,0,0,24,0,1,1,0,24,0,32.00,0
Ishant Sharma,http://www.espncricinfo.com/ci/content/player/236779.html,"September 2, 1988, Delhi ","India,",7.74,2211,71,19,0,31*,0,124,90,43,627,0,28.35,0
Deepti Sharma,http://www.espncricinfo.com/ci/content/player/597811.html,"August 24, 1997, Agra, Uttar Pradesh ","India A Women,",41.81,2176,155,13,10,188,1,43,48,10,1380,10,63.41,0
Barun Sharma,http://www.espncricinfo.com/ci/content/player/27133.html,"October 24, 1985, Una, Himachal Pradesh ","Himachal Pradesh,",14.75,443,12,1,0,37,0,9,5,1,118,0,26.63,0
Abhineesh Sharma,http://www.espncricinfo.com/ci/content/player/484036.html,"December 7, 1986, Hamirpur ",Himachal Pradesh,14.00,50,2,0,0,9,0,2,1,1,14,0,28.00,0
Ashutosh Sharma,http://www.espncricinfo.com/ci/content/player/1131978.html,"September 15, 1998, Ratlam, Madhya Pradesh ","Madhya Pradesh,",3.00,5,0,1,0,3,0,1,1,0,3,0,60.00,0
Arjun Sharma,http://www.espncricinfo.com/ci/content/player/731473.html,"May 21, 1996, Jalandhar ","Himachal Pradesh,",18.25,97,6,5,0,46,0,4,8,0,73,0,75.25,0
Mohammad Muddassir,http://www.espncricinfo.com/ci/content/player/1058442.html,"November 29, 1992, Hyderabad, Andhra Pradesh ","Hyderabad (India),",5.33,32,2,1,0,9*,0,4,3,1,16,0,50.00,0
Mohammad Javed,http://www.espncricinfo.com/ci/content/player/950213.html,"December 10, 1993, Saharanpur, Uttar Pradesh ","Uttar Pradesh,",-,6,0,1,0,2*,0,2,5,2,2,0,33.33,0
Mohmad Ajrudeen,http://www.espncricinfo.com/ci/content/player/1161191.html,date unknown ,Himachal Pradesh,-,2,0,0,0,0*,0,1,2,1,0,0,0.00,0
Sumitosh Praharaj,http://www.espncricinfo.com/ci/content/player/500153.html,"November 10, 1992, Bhubaneswar, Orissa ",Orissa,16.00,56,7,1,0,26,0,2,2,0,32,0,57.14,0
Nikhil Paradkar,http://www.espncricinfo.com/ci/content/player/269177.html,"September 24, 1987, Daund ",Maharashtra,29.77,1525,95,14,5,104*,1,34,22,7,804,11,52.72,0
Snehal Pradhan,http://www.espncricinfo.com/ci/content/player/220729.html,"March 18, 1986, Pune, Maharashtra ","India Blue Women,",13.00,32,1,1,0,6*,0,3,6,2,13,0,40.62,0
Suryakant Pradhan,http://www.espncricinfo.com/ci/content/player/605087.html,"September 30, 1993, Khurda, Orissa ",Odisha,14.50,658,63,12,3,65,0,50,38,2,696,42,105.77,0
Debabrata Pradhan,http://www.espncricinfo.com/ci/content/player/1083876.html,"October 10, 1996, Sabalpur, Orissa ","Odisha,",14.00,165,14,2,0,36,0,6,4,0,84,0,50.90,0
Bikash Pradhan,http://www.espncricinfo.com/ci/content/player/32538.html,"February 16, 1978, Jorethang, Sikkim ",Sikkim,7.20,104,3,0,0,14,0,5,5,0,36,0,34.61,0
Ajay Pradhan,http://www.espncricinfo.com/ci/content/player/1159803.html,"February 5, 1980, Gangtok, Sikkim ",Sikkim,-,4,0,0,0,0*,0,2,2,2,0,0,0.00,0
T Pradeep,http://www.espncricinfo.com/ci/content/player/917177.html,"November 29, 1994 ",Mangalore United,6.00,30,1,9,0,7,0,8,14,5,18,1,60.00,0
Dasi Prabhu Kiran,http://www.espncricinfo.com/ci/content/player/279559.html,"February 24, 1989, Vijawada ",Andhra,35.66,133,12,2,1,65*,0,4,2,1,107,3,80.45,0
Vijesh Prabhudessai,http://www.espncricinfo.com/ci/content/player/1132093.html,"February 20, 1997 ","Goa,",0.00,19,0,2,0,0*,0,5,3,3,0,0,0.00,0
Suyash Prabhudessai,http://www.espncricinfo.com/ci/content/player/1083851.html,"December 6, 1997 ",Goa,23.83,500,43,8,1,65,0,12,6,0,286,2,57.20,0
Rakesh Prabhu,http://www.espncricinfo.com/ci/content/player/573877.html,date unknown ,Mumbai Cricket Association XI,-,-,-,0,-,-,-,-,2,-,-,-,-,0
Murthy Prabhu,http://www.espncricinfo.com/ci/content/player/392594.html,"December 14, 1987, Chennai ","Ruby Trichy Warriors,",1.50,42,0,2,0,3,0,2,4,0,3,0,7.14,0
Ajay Sharma,http://www.espncricinfo.com/ci/content/player/33943.html,"April 3, 1964, Delhi ","India,",26.50,169,8,1,0,30,0,2,1,0,53,0,31.36,0
Aman Sharma,http://www.espncricinfo.com/ci/content/player/625420.html,"May 12, 1993, Panipat ",Vidarbha,20.75,110,14,3,0,23,0,4,3,0,83,1,75.45,0
Alok Sharma,http://www.espncricinfo.com/ci/content/player/583265.html,"May 12, 1991, Kolkata, Bengal ","Bengal,",2.00,7,0,0,0,2,0,1,1,0,2,0,28.57,0
Amit Sharma,http://www.espncricinfo.com/ci/content/player/480913.html,"November 29, 1988, Gwalior, Madhya Pradesh ",Madhya Pradesh,10.80,108,7,3,0,15,0,7,8,2,54,0,50.00,0
Amita Sharma,http://www.espncricinfo.com/ci/content/player/54172.html,"September 12, 1982, Delhi ","India Red Women,",13.66,187,14,0,1,50,0,7,5,1,82,0,43.85,0
Shardanand Yadav,http://www.espncricinfo.com/ci/content/player/536630.html,"July 30, 1984, Khetri ",Rajasthan,3.00,5,0,0,0,3,0,1,3,0,3,0,60.00,0
Srinivas Sharath,http://www.espncricinfo.com/ci/content/player/916903.html,"March 1, 1996, Bangalore, Karnataka ","Belagavi Panthers,",56.33,455,21,17,1,83*,0,5,4,2,169,0,37.14,0
HS Sharath,http://www.espncricinfo.com/ci/content/player/478881.html,"February 6, 1993, Mandya, Karnataka ","Bangalore Brigadiers (Urban),",4.86,304,10,7,0,12*,0,32,28,17,73,0,24.01,0
BR Sharath,http://www.espncricinfo.com/ci/content/player/917231.html,"September 28, 1996, Bangalore, Karnataka ","Bijapur Bulls,",18.20,268,34,23,0,103,1,10,6,0,182,0,67.91,4
Alok Chandra Sahoo,http://www.espncricinfo.com/ci/content/player/279660.html,"November 5, 1989, Cuttack ",Orissa,19.70,1167,96,9,1,58,0,37,25,3,670,10,57.41,0
Shan Alam,http://www.espncricinfo.com/ci/content/player/34539.html,"December 13, 1988, Indore, Madhya Pradesh ",Madhya Pradesh Under-16s,9.66,65,4,2,0,17,0,3,3,0,29,0,44.61,0
Shantanu Mishra,http://www.espncricinfo.com/ci/content/player/1122977.html,"May 30, 1994, Bhubaneswar ",Odisha,32.94,1668,87,9,5,78,0,19,11,0,626,0,37.52,0
Shiv Shanker,http://www.espncricinfo.com/ci/content/player/34306.html,"May 2, 1982, Hyderabad, Andhra Pradesh ",Hyderabad Under-19s,4.00,50,1,1,0,7*,0,4,2,2,8,0,16.00,0
Vijay Shankar,http://www.espncricinfo.com/ci/content/player/477021.html,"January 26, 1991, Tirunelveli, Tamil Nadu ","India,",33.00,171,14,5,0,46,0,5,9,0,165,4,96.49,0
Abhimanyu Mithun,http://www.espncricinfo.com/ci/content/player/310958.html,"October 25, 1989, Bangalore ","India,",24.00,249,16,0,0,46,0,5,4,0,120,0,48.19,0
Dhiren Mistry,http://www.espncricinfo.com/ci/content/player/594553.html,"September 5, 1992, Baroda ",Baroda,24.20,1397,76,11,4,118,1,26,14,1,605,0,43.30,0
SK Miskin,http://www.espncricinfo.com/ci/content/player/31073.html,"December 27, 1980, Margao, Goa ","Goa,",11.00,39,2,0,0,11*,0,2,1,1,11,0,28.20,0
Ambikeshwar Mishra,http://www.espncricinfo.com/ci/content/player/1085173.html,"November 27, 1993, Gonda, Uttar Pradesh ","Railways,",-,-,-,2,-,-,-,-,1,-,-,-,-,0
Sanjay Mishra,http://www.espncricinfo.com/ci/content/player/806821.html,"September 20, 1990, Rewa, Madhya Pradesh ","Madhya Pradesh,",11.00,269,10,3,0,35,0,7,4,0,77,0,28.62,0
Sagar Mishra,http://www.espncricinfo.com/ci/content/player/941035.html,"September 15, 1993, Mumbai ",Railways,19.33,159,6,5,0,46,0,3,2,0,58,1,36.47,0
Rakesh Mishra,http://www.espncricinfo.com/ci/content/player/490873.html,"April 9, 1988, Allahabad, Uttar Pradesh ",Railways,4.00,14,1,1,0,8,0,2,1,0,8,0,57.14,0
Ramesh Powar,http://www.espncricinfo.com/ci/content/player/32391.html,"May 20, 1978, Bombay (now Mumbai), Maharashtra ","India,",6.50,18,2,0,0,7,0,2,2,0,13,0,72.22,0
Arun Poulose,http://www.espncricinfo.com/ci/content/player/290633.html,"July 22, 1986, Aluva, Ernakulam, Kerala ",Kerala,3.00,14,2,2,0,9,0,3,3,0,9,0,64.28,0
Writam Porel,http://www.espncricinfo.com/ci/content/player/32440.html,"August 29, 1989, Calcutta (now Kolkata), Bengal ",Bengal Under-14s,19.87,833,48,7,1,71,0,16,10,0,318,0,38.17,0
Ishan Porel,http://www.espncricinfo.com/ci/content/player/967603.html,"September 5, 1998, Hooghly, Bengal ","Bengal,",3.57,94,3,0,0,6,0,17,12,10,25,0,26.59,0
Digant Popat,http://www.espncricinfo.com/ci/content/player/32496.html,"November 27, 1982, Ahmedabad, Gujarat ","Gujarat,",21.73,861,40,9,2,63,0,17,11,2,326,2,37.86,0
Poonam Poonia,http://www.espncricinfo.com/ci/content/player/924467.html,"December 12, 1994, Sriganganagar, Rajasthan ","Rajasthan Under-16s,",9.75,91,7,0,0,24,0,6,6,2,39,0,42.85,0
Poonam Yadav,http://www.espncricinfo.com/ci/content/player/630972.html,"August 24, 1991, Agra, Uttar Pradesh ","India Women,",-,-,-,0,-,-,-,-,1,-,-,-,-,0
Govinda Poddar,http://www.espncricinfo.com/ci/content/player/390734.html,"September 9, 1991, Rourkela, Orissa ",Orissa,30.88,6788,431,40,15,225,6,110,63,10,3088,11,45.49,0
Piyush Joshi,http://www.espncricinfo.com/ci/content/player/1166910.html,"May 27, 1996 ",Uttarakhand,7.00,9,1,3,0,7,0,1,1,0,7,0,77.77,0
Piyush Singh,http://www.espncricinfo.com/ci/content/player/1175477.html,"May 4, 2001, Chandauli, Bihar ",Bihar,8.00,59,2,1,0,21,0,5,5,0,40,1,67.79,0
Kushang Patel,http://www.espncricinfo.com/ci/content/player/591649.html,"September 13, 1991, Surat ",Gujarat,8.76,381,25,3,0,29,0,24,17,7,149,1,39.10,0
Kathan Patel,http://www.espncricinfo.com/ci/content/player/1136212.html,"October 31, 1996, Ahmedabad, Gujarat ","Gujarat,",35.90,780,57,9,2,107,2,11,6,0,395,0,50.64,0
VN Kutty,http://www.espncricinfo.com/ci/content/player/30590.html,"April 19, 1984, England ",Kerala,19.00,66,1,0,0,38,0,2,2,0,38,1,57.57,0
Vishal Kushwah,http://www.espncricinfo.com/ci/content/player/1063490.html,"November 30, 1990, Raipur, Madhya Pradesh ",Chhattisgarh,30.16,784,57,3,2,159,1,19,11,1,543,26,69.26,0
Ankit Kushwah,http://www.espncricinfo.com/ci/content/player/828535.html,"April 20, 1992 ",Madhya Pradesh,20.80,232,14,0,0,34,0,6,4,1,104,0,44.82,0
Abey Kuruvilla,http://www.espncricinfo.com/ci/content/player/30182.html,"August 8, 1968, Mannar, Allepey (now Alappuzha), Kerala ","India,",6.60,164,0,0,0,35*,0,11,10,1,66,4,40.24,0
Arnav Kush,http://www.espncricinfo.com/ci/content/player/339959.html,"October 15, 1988, karnal, Haryana ",Services,0.50,12,0,3,0,1,0,2,4,0,1,0,8.33,0
Devendra Kunwar,http://www.espncricinfo.com/ci/content/player/1080736.html,"December 2, 1995,  Bargarh, Orissa, India ",Odisha,13.00,6,1,0,0,13*,0,2,2,1,13,1,216.66,0
Rohan  Kunnummal,http://www.espncricinfo.com/ci/content/player/1079382.html,"May 10, 1998, Palakkad, Kerala ","Kerala,",19.50,51,8,0,0,23,0,2,2,0,39,0,76.47,0
Tinu Kundu,http://www.espncricinfo.com/ci/content/player/1159733.html,"March 15, 1995, Rohtak, Haryana ",Haryana,4.00,15,1,3,0,4,0,6,4,4,8,0,53.33,0
G Shankar,http://www.espncricinfo.com/ci/content/player/34750.html,date unknown ,Delhi,-,-,-,1,-,-,-,-,1,-,-,-,-,0
Mohammed Shakeer,http://www.espncricinfo.com/ci/content/player/34300.html,"November 15, 1986, Hyderabad, Andhra Pradesh ","Hyderabad (India),",19.20,131,15,2,0,49,0,6,3,1,96,3,73.28,0
Shakeeb Ahmed,http://www.espncricinfo.com/ci/content/player/1059572.html,"November 11, 1994, Bhilai, Madhya Pradesh ",Chhattisgarh,12.80,212,9,1,0,31,0,5,3,0,64,0,30.18,0
Amit Mishra,http://www.espncricinfo.com/ci/content/player/482546.html,"August 10, 1988, Bilaspur ",Railways,9.00,345,17,5,0,24,0,18,11,4,126,2,36.52,0
Amit Mishra,http://www.espncricinfo.com/ci/content/player/31107.html,"November 24, 1982, Delhi ","India,",21.60,1103,79,8,4,84,0,32,22,2,648,3,58.74,0
Durgesh Mishra,http://www.espncricinfo.com/ci/content/player/447552.html,"November 4, 1991, Nagpur, Maharashtra ",Vidarbha,2.00,18,0,0,0,2,0,1,1,0,2,0,11.11,0
Darshan Misal,http://www.espncricinfo.com/ci/content/player/501345.html,"September 11, 1992, Curchorem, Goa ",Goa,30.49,4889,218,25,11,119,4,73,44,4,2104,14,43.03,0
Milind Kumar,http://www.espncricinfo.com/ci/content/player/451947.html,"February 15, 1991, Delhi ","Delhi,",49.78,4223,334,23,10,261,8,60,37,9,2539,24,60.12,0
Chama Milind,http://www.espncricinfo.com/ci/content/player/604616.html,"September 4, 1994, Hyderabad, Andhra Pradesh ","Delhi Daredevils,",28.46,1623,106,7,3,136,1,39,32,13,740,8,45.59,0
Sudhesan Midhun,http://www.espncricinfo.com/ci/content/player/1131619.html,"October 7, 1994, Kayamkulam (Allapuzha District) ","Kerala,",0.00,3,0,0,0,0,0,1,3,0,0,0,0.00,0
Paras Mhambrey,http://www.espncricinfo.com/ci/content/player/30999.html,"June 20, 1972, Bombay (now Mumbai), Maharashtra ","India,",29.00,111,8,1,0,28,0,3,2,1,58,0,52.25,0
Mona Meshram,http://www.espncricinfo.com/ci/content/player/490624.html,"September 30, 1991, Nagpur ","India Blue Women,",18.52,655,38,10,3,78*,0,21,26,2,352,4,53.74,0
Lukman Meriwala,http://www.espncricinfo.com/ci/content/player/573930.html,"December 11, 1991, Makan, Baroda ",Baroda,8.55,167,16,4,0,14,0,16,12,7,77,0,46.10,0
Bhargav Merai,http://www.espncricinfo.com/ci/content/player/447454.html,"February 2, 1992, Surat, Gujarat ",Gujarat,39.40,6623,365,56,14,198,6,85,53,6,3113,5,47.00,0
Dinesh Pisurlekar,http://www.espncricinfo.com/ci/content/player/32604.html,date unknown ,Goa,-,-,-,3,-,-,-,-,1,-,-,-,-,2
Jitender Phogat,http://www.espncricinfo.com/ci/content/player/735757.html,"November 16, 1994, Bhiwani, Haryana ","Haryana,",-,2,1,1,0,5*,0,1,2,1,5,0,250.00,0
Kundan Singh,http://www.espncricinfo.com/ci/content/player/390552.html,"December 14, 1992, Bokaro, Bihar ",India Under-19s,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Anil Kumble,http://www.espncricinfo.com/ci/content/player/30176.html,"October 17, 1970, Bangalore, Karnataka ","India,",17.77,6455,302,60,5,110*,1,173,132,32,2506,9,38.82,0
Kumar Aditya,http://www.espncricinfo.com/ci/content/player/1170926.html,"March 6, 1992,  Saharsha, Bihar ",Bihar,13.50,67,2,0,0,24,0,2,1,0,27,0,40.29,0
Kumarswamy,http://www.espncricinfo.com/ci/content/player/30222.html,"August 18, 1980, Visakhapatnam, Andhra Pradesh ",Andhra Under-25s,15.00,167,3,0,0,30,0,3,2,0,45,0,26.94,0
Latika Kumari,http://www.espncricinfo.com/ci/content/player/372404.html,"January 5, 1992, India ","Delhi Women,",10.16,96,7,2,0,36,0,6,6,0,61,0,63.54,0
Thirunavukkarasu Kumaran,http://www.espncricinfo.com/ci/content/player/30157.html,"December 30, 1975, Madras (now Chennai), Tamil Nadu ","India,",6.33,27,2,3,0,8,0,3,8,0,19,0,70.37,0
Suresh Kumar,http://www.espncricinfo.com/ci/content/player/313763.html,"March 20, 1985, Chennai ","Chennai Super Kings,",26.40,1454,83,10,4,90,0,30,25,5,660,11,45.39,0
Zuber Shaikh,http://www.espncricinfo.com/ci/content/player/290724.html,"December 21, 1986, Baroda (now Vadordara), Gujarat ",Baroda,10.00,9,2,1,0,10,0,1,1,0,10,0,111.11,0
Shoaib Shaikh,http://www.espncricinfo.com/ci/content/player/377437.html,"January 18, 1987, Bombay (now Mumbai), Maharashtra ","Kolkata Knight Riders,",35.41,610,38,2,3,83,0,12,12,0,425,6,69.67,0
Sufiyan Shaikh,http://www.espncricinfo.com/ci/content/player/377435.html,"November 25, 1990, Bombay (now Mumbai), Maharashtra ","Mumbai,",36.50,292,17,9,1,67,0,4,3,0,146,0,50.00,3
Rahil Shaikh,http://www.espncricinfo.com/ci/content/player/279460.html,"June 12, 1985 ",Mumbai,26.00,41,4,0,0,20*,0,4,4,3,26,0,63.41,0
Naushad Shaikh,http://www.espncricinfo.com/ci/content/player/699501.html,"October 15, 1991, Osmanabad, Maharashtra ","Maharashtra,",36.68,1845,156,17,4,143,3,31,18,2,1064,4,57.66,0
Kamran Shaikh,http://www.espncricinfo.com/ci/content/player/799345.html,"October 13, 1986, Baroda (now Vadodara), Gujarat ",Haryana,-,20,1,0,0,17*,0,1,1,1,17,0,85.00,0
Aquib Shaikh,http://www.espncricinfo.com/ci/content/player/477148.html,"October 30, 1990, Thane, Maharashtra ",Mumbai Cricket Association XI,18.00,24,3,1,0,18,0,1,1,0,18,0,75.00,0
Abrar Shaikh,http://www.espncricinfo.com/ci/content/player/1083546.html,"August 14, 1993, Junagadh, Gujarat ","Saurashtra,",2.00,15,0,1,0,4,0,2,2,0,4,0,26.66,0
Shahrukh Khan,http://www.espncricinfo.com/ci/content/player/719719.html,"May 27, 1995, Chennai, Tamil Nadu ","Madurai Super Giant,",46.00,431,21,5,2,92*,0,7,4,2,230,3,53.36,0
Shahnawaz Hussain,http://www.espncricinfo.com/ci/content/player/1065987.html,"September 9, 1993, Bilaspur, Madhya Pradesh ",Chhattisgarh,14.00,83,1,2,0,8*,0,10,8,9,14,0,16.86,0
Chovvakkaran Shahid,http://www.espncricinfo.com/ci/content/player/290644.html,"February 8, 1983, Thalassery, Kerala ",Kerala,8.73,292,14,8,0,37,0,16,12,1,131,4,44.86,0
S Shahane,http://www.espncricinfo.com/ci/content/player/34994.html,date unknown ,Services,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Rahul Shah,http://www.espncricinfo.com/ci/content/player/1136211.html,"January 3, 1997, Ahmedabad, Gujarat ","Gujarat,",48.00,126,5,0,0,33*,0,2,1,1,48,0,38.09,0
Rahil Shah,http://www.espncricinfo.com/ci/content/player/477161.html,"October 20, 1985, Surat, Gujarat ","Tamil Nadu Cricket Association XI,",5.31,471,9,14,0,17,0,28,26,9,101,0,21.44,0
Kabrambam Meitei,http://www.espncricinfo.com/ci/content/player/1159945.html,"October 12, 1992, Imphal, Manipur ",Manipur,8.85,117,10,0,0,26*,0,8,5,1,62,0,52.99,0
Poonish Mehta,http://www.espncricinfo.com/ci/content/player/950021.html,"November 4, 1993, Gurgaon ","Haryana,",23.25,421,25,2,1,70*,0,12,7,4,186,0,44.18,0
Madhuri Mehta,http://www.espncricinfo.com/ci/content/player/552332.html,"November 1, 1991, Bolangir, Orissa ",India Women,12.50,64,1,0,0,23,0,2,2,0,25,0,39.06,0
Jitender Mehta,http://www.espncricinfo.com/ci/content/player/231072.html,"March 11, 1982, Shimla ",Himachal Pradesh,4.47,168,15,2,0,19,0,24,16,5,85,2,50.59,0
Dishant Mehta,http://www.espncricinfo.com/ci/content/player/266322.html,"February 13, 1986, Baroda, Gujarat ","Baroda,",0.00,5,0,2,0,0,0,1,1,0,0,0,0.00,0
Mehta,http://www.espncricinfo.com/ci/content/player/31529.html,date unknown ,Uttar Pradesh,-,-,-,1,-,-,-,-,1,-,-,-,-,0
Mangal Mahrour,http://www.espncricinfo.com/ci/content/player/1169586.html,"April 1, 1992, Gaya ",Bihar,53.00,347,37,3,1,177,1,5,3,0,265,2,76.36,0
R Mehrotra,http://www.espncricinfo.com/ci/content/player/31528.html,date unknown ,Services,-,-,-,1,-,-,-,-,1,-,-,-,-,1
Sandesh Pawaskar,http://www.espncricinfo.com/ci/content/player/271980.html,"September 28, 1983, Sawantwadi, Maharashtra ","Goa,",2.00,51,0,1,0,2,0,2,1,1,2,0,3.92,0
Ninad Pawaskar,http://www.espncricinfo.com/ci/content/player/427503.html,"December 15, 1988, Duler, Goa ","Goa,",6.00,16,1,0,0,6,0,1,1,0,6,0,37.50,0
Praveen Pawar,http://www.espncricinfo.com/ci/content/player/32599.html,date unknown ,Railways,-,-,-,1,-,-,-,-,1,-,-,-,-,1
Kaustubh Pawar,http://www.espncricinfo.com/ci/content/player/474682.html,"September 13, 1990, Mumbai ","Dr DY Patil Sports Academy,",30.73,4203,211,34,6,161,4,57,33,4,1629,7,38.75,0
Prateek Pawar,http://www.espncricinfo.com/ci/content/player/447585.html,"January 28, 1989 ",Haryana,24.11,569,25,7,1,84,0,12,6,3,217,0,38.13,0
Pawan Kumar,http://www.espncricinfo.com/ci/content/player/1164893.html,"September 2, 1989 ",Puducherry,0.00,6,0,0,0,0,0,2,1,0,0,0,0.00,0
Pawandeep Singh,http://www.espncricinfo.com/ci/content/player/1132391.html,"July 5, 1992, Raipur ",Chhattisgarh,-,-,-,0,-,-,-,-,1,-,-,-,-,0
KB Pawan,http://www.espncricinfo.com/ci/content/player/277234.html,"December 19, 1987, Bengalooru ","Karnataka,",33.99,8650,460,56,17,251*,8,114,66,6,3671,13,42.43,5
Paveen Sharma,http://www.espncricinfo.com/ci/content/player/231073.html,date unknown ,Himachal Pradesh,1.00,9,0,1,0,1,0,4,2,2,2,0,22.22,0
